[DOMAIN:标签] [CAT:二次元角色/作品] touhou | 东方
[DOMAIN:标签] [CAT:二次元角色/元数据] pokemon_(species) | 宝可梦（物种）
[DOMAIN:标签] [CAT:二次元角色/作品] kantai_collection | 舰队Collection
[DOMAIN:标签] [CAT:二次元角色/角色] fate_(series) | 命运（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] pokemon | 宝可梦
[DOMAIN:标签] [CAT:二次元角色/作品] blue_archive | 蔚蓝档案
[DOMAIN:标签] [CAT:二次元角色/作品] fate/grand_order | 命运/冠位指定
[DOMAIN:标签] [CAT:二次元角色/作品] idolmaster | 偶像大师
[DOMAIN:标签] [CAT:二次元角色/作品] genshin_impact | 原神
[DOMAIN:标签] [CAT:二次元角色/作品] hololive | 霍洛莉芙
[DOMAIN:标签] [CAT:二次元角色/元数据] character_name | 角色名
[DOMAIN:标签] [CAT:二次元角色/作品] vocaloid | 虚拟歌姬
[DOMAIN:标签] [CAT:二次元角色/元数据] generation_1_pokemon | 第一代宝可梦
[DOMAIN:标签] [CAT:二次元角色/角色] pokemon_(creature) | 宝可梦（生物）
[DOMAIN:标签] [CAT:二次元角色/作品] arknights | 明日方舟
[DOMAIN:标签] [CAT:二次元角色/作品] azur_lane | 碧蓝航线
[DOMAIN:标签] [CAT:二次元角色/作品] idolmaster_cinderella_girls | 偶像大师 灰姑娘女孩
[DOMAIN:标签] [CAT:二次元角色/作品] umamusume | 赛马娘
[DOMAIN:标签] [CAT:二次元角色/角色] sonic_the_hedgehog_(series) | 刺猬索尼克（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] generation_4_pokemon | 第四代宝可梦
[DOMAIN:标签] [CAT:二次元角色/作品] hatsune_miku | 初音未来
[DOMAIN:标签] [CAT:二次元角色/角色] honkai_(series) | 崩坏（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] fire_emblem | 火焰纹章
[DOMAIN:标签] [CAT:二次元角色/作品] love_live! | 爱与直播!
[DOMAIN:标签] [CAT:二次元角色/作品] generation_3_pokemon | 第三世代宝可梦
[DOMAIN:标签] [CAT:二次元角色/作品] final_fantasy | 最终幻想
[DOMAIN:标签] [CAT:二次元角色/作品] hakurei_reimu | 博丽灵梦
[DOMAIN:标签] [CAT:二次元角色/作品] generation_2_pokemon | 第二世代宝可梦
[DOMAIN:标签] [CAT:二次元角色/作品] generation_6_pokemon | 第六世代宝可梦
[DOMAIN:标签] [CAT:二次元角色/作品] mahou_shoujo_madoka_magica | 魔法少女小圆
[DOMAIN:标签] [CAT:二次元角色/作品] eeveelution | 伊布进化型
[DOMAIN:标签] [CAT:二次元角色/作品] kirisame_marisa | 雾雨魔理沙
[DOMAIN:标签] [CAT:二次元角色/作品] pokemorph | 宝可梦拟人
[DOMAIN:标签] [CAT:二次元角色/作品] hololive_english | Hololive英语组
[DOMAIN:标签] [CAT:二次元角色/作品] girls_und_panzer | 少女与战车
[DOMAIN:标签] [CAT:二次元角色/角色] undertale_(series) | 传说之下（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] girls'_frontline | 少女前线
[DOMAIN:标签] [CAT:二次元角色/作品] nijisanji | 彩虹社
[DOMAIN:标签] [CAT:二次元角色/作品] legendary_pokemon | 传说宝可梦
[DOMAIN:标签] [CAT:二次元角色/作品] honkai:_star_rail | star rail:崩坏：星穹铁道
[DOMAIN:标签] [CAT:二次元角色/角色] mahou_shoujo_madoka_magica_(anime) | 魔法少女小圆（动画）
[DOMAIN:标签] [CAT:二次元角色/作品] remilia_scarlet | 蕾米莉亚·斯卡雷特
[DOMAIN:标签] [CAT:二次元角色/作品] precure | 光之美少女
[DOMAIN:标签] [CAT:二次元角色/作品] flandre_scarlet | 芙兰朵露·斯卡雷特
[DOMAIN:标签] [CAT:二次元角色/角色] danganronpa_(series) | 弹丸论破（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] generation_7_pokemon | 第七世代宝可梦
[DOMAIN:标签] [CAT:二次元角色/作品] kemono_friends | 兽娘动物园
[DOMAIN:标签] [CAT:二次元角色/作品] gundam | 高达
[DOMAIN:标签] [CAT:二次元角色/作品] granblue_fantasy | 碧蓝幻想
[DOMAIN:标签] [CAT:二次元角色/作品] izayoi_sakuya | 十六夜咲夜
[DOMAIN:标签] [CAT:二次元角色/作品] jojo_no_kimyou_na_bouken | JOJO的奇妙冒险
[DOMAIN:标签] [CAT:二次元角色/作品] fate/stay_night | 命运之夜
[DOMAIN:标签] [CAT:二次元角色/角色] artoria_pendragon_(fate) | 阿尔托莉雅·潘德拉贡（Fate）
[DOMAIN:标签] [CAT:二次元角色/角色] admiral_(kancolle) | 提督（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] idolmaster_shiny_colors | 偶像大师 闪耀色彩
[DOMAIN:标签] [CAT:二次元角色/角色] idolmaster_(classic) | 偶像大师（经典）
[DOMAIN:标签] [CAT:二次元角色/作品] kochiya_sanae | 东风谷早苗
[DOMAIN:标签] [CAT:二次元角色/作品] konpaku_youmu | 魂魄妖梦
[DOMAIN:标签] [CAT:二次元角色/作品] komeiji_koishi | 古明地恋
[DOMAIN:标签] [CAT:二次元角色/作品] love_live!_school_idol_project | Love Live! 学园偶像计划
[DOMAIN:标签] [CAT:二次元角色/作品] alice_margatroid | 爱丽丝·玛格特洛依德
[DOMAIN:标签] [CAT:二次元角色/作品] cirno | 琪露诺
[DOMAIN:标签] [CAT:二次元角色/作品] patchouli_knowledge | 帕秋莉·诺蕾姬
[DOMAIN:标签] [CAT:二次元角色/作品] one_piece | 海贼王
[DOMAIN:标签] [CAT:二次元角色/作品] yakumo_yukari | 八云紫
