[DOMAIN:标签] [CAT:物品/动物] mammal | 哺乳动物
[DOMAIN:标签] [CAT:物品/动物] fur | 毛发
[DOMAIN:标签] [CAT:物品/动物] canid | 犬科动物
[DOMAIN:标签] [CAT:物品/动物] canine | 犬类
[DOMAIN:标签] [CAT:物品/动物] canis | 犬属
[DOMAIN:标签] [CAT:物品/动物] felid | 猫科动物
[DOMAIN:标签] [CAT:排除/兽化非人] feral | 野生
[DOMAIN:标签] [CAT:物品/植物] flower | 花朵
[DOMAIN:标签] [CAT:物品/武器] weapon | 武器
[DOMAIN:标签] [CAT:物品/其他物品] heart | 心形
[DOMAIN:标签] [CAT:物品/动物] animal_genitalia | 动物生殖器
[DOMAIN:标签] [CAT:物品/动物] feline | 猫科
[DOMAIN:标签] [CAT:物品/食物] food | 食物
[DOMAIN:标签] [CAT:物品/动物] equid | 马科动物
[DOMAIN:标签] [CAT:物品/动物] equine | 马科
[DOMAIN:标签] [CAT:物品/动物] domestic_dog | 家犬
[DOMAIN:标签] [CAT:物品/其他物品] furniture | 家具
[DOMAIN:标签] [CAT:物品/动物] felis | 猫科
[DOMAIN:标签] [CAT:物品/动物] domestic_cat | 家猫
[DOMAIN:标签] [CAT:物品/动物] lagomorph | 兔形目
[DOMAIN:标签] [CAT:物品/动物] paws | 兽爪
[DOMAIN:标签] [CAT:物品/武器] sword | 刀剑
[DOMAIN:标签] [CAT:排除/兽化非人] reptile | 爬行类
[DOMAIN:标签] [CAT:物品/动物] leporid | 兔科
[DOMAIN:标签] [CAT:物品/其他物品] bag | 包
[DOMAIN:标签] [CAT:物品/动物] pantherine | 豹亚科
[DOMAIN:标签] [CAT:物品/动物] avian | 鸟类
[DOMAIN:标签] [CAT:物品/动物] bovid | 牛科动物
[DOMAIN:标签] [CAT:物品/餐具] cup | 杯子
[DOMAIN:标签] [CAT:物品/动物] rodent | 啮齿动物
[DOMAIN:标签] [CAT:物品/武器] gun | 枪械
[DOMAIN:标签] [CAT:物品/其他物品] pillow | 枕头
[DOMAIN:标签] [CAT:物品/动物] marine | 海洋生物
[DOMAIN:标签] [CAT:物品/学习用品] book | 书本
[DOMAIN:标签] [CAT:物品/其他物品] blood | 血迹
[DOMAIN:标签] [CAT:物品/其他物品] bell | 铃铛
[DOMAIN:标签] [CAT:物品/动物] caprine | 山羊属
[DOMAIN:标签] [CAT:物品/食物] fruit | 水果
[DOMAIN:标签] [CAT:物品/其他物品] bed | 床
[DOMAIN:标签] [CAT:物品/植物] rose | 玫瑰
[DOMAIN:标签] [CAT:物品/动物] bird | 鸟
[DOMAIN:标签] [CAT:物品/植物] leaf | 叶子
[DOMAIN:标签] [CAT:物品/动物] animal | 动物
[DOMAIN:标签] [CAT:物品/数码设备] phone | 手机
[DOMAIN:标签] [CAT:物品/其他物品] bed_sheet | 床单
[DOMAIN:标签] [CAT:物品/其他物品] bandages | 绷带
[DOMAIN:标签] [CAT:排除/媒体噪音] japanese_text | 日语文本
[DOMAIN:标签] [CAT:物品/植物] white_flower | 白花
[DOMAIN:标签] [CAT:物品/其他物品] chair | 椅子
[DOMAIN:标签] [CAT:物品/其他物品] umbrella | 雨伞
[DOMAIN:标签] [CAT:物品/其他物品] stuffed_toy | 毛绒玩具
[DOMAIN:标签] [CAT:物品/其他物品] table | 桌子
[DOMAIN:标签] [CAT:物品/动物] cat | 猫
[DOMAIN:标签] [CAT:物品/数码设备] cellphone | 手机
