[DOMAIN:标签] [CAT:环境/天空] sky | 天空
[DOMAIN:标签] [CAT:环境/天气] day | 白天
[DOMAIN:标签] [CAT:环境/云] cloud | 云朵
[DOMAIN:标签] [CAT:环境/水] water | 水
[DOMAIN:标签] [CAT:环境/天空] blue_sky | 蓝天
[DOMAIN:标签] [CAT:环境/大自然] tree | 树木
[DOMAIN:标签] [CAT:环境/大自然] petals | 花瓣
[DOMAIN:标签] [CAT:环境/氛围] night | 夜晚
[DOMAIN:标签] [CAT:环境/水] ocean | 海洋
[DOMAIN:标签] [CAT:环境/天气] sunlight | 阳光
[DOMAIN:标签] [CAT:环境/天空] moon | 月亮
[DOMAIN:标签] [CAT:环境/大自然] grass | 草地
[DOMAIN:标签] [CAT:环境/天气] cloudy_sky | 阴天
[DOMAIN:标签] [CAT:环境/氛围] fire | 火焰
[DOMAIN:标签] [CAT:环境/天空] star_(sky) | 星星（天空）
[DOMAIN:标签] [CAT:环境/天空] night_sky | 夜空
[DOMAIN:标签] [CAT:环境/天气] steam | 蒸汽
[DOMAIN:标签] [CAT:环境/天气] wind | 风
[DOMAIN:标签] [CAT:环境/大自然] nature | 自然
[DOMAIN:标签] [CAT:环境/氛围] christmas | 圣诞节
[DOMAIN:标签] [CAT:环境/氛围] smoke | 烟雾
[DOMAIN:标签] [CAT:环境/天空] full_moon | 满月
[DOMAIN:标签] [CAT:环境/天气] snow | 雪景
[DOMAIN:标签] [CAT:环境/天空] starry_sky | 星空
[DOMAIN:标签] [CAT:环境/大自然] forest | 森林
[DOMAIN:标签] [CAT:环境/天气] rain | 雨
[DOMAIN:标签] [CAT:环境/天空] sunset | 日落
[DOMAIN:标签] [CAT:环境/水] ice | 冰
[DOMAIN:标签] [CAT:环境/水] sea | 海洋
[DOMAIN:标签] [CAT:环境/水] water_drop | 水滴
[DOMAIN:标签] [CAT:环境/天气] snowing | 飘雪
[DOMAIN:标签] [CAT:环境/氛围] new_year | 新年
[DOMAIN:标签] [CAT:环境/氛围] steaming_body | 蒸汽缭绕身体
